,dataset,image_retrieval_recall@1,text_retrieval_recall@1,image_retrieval_recall@50,text_retrieval_recall@50,image_retrieval_recall@200,text_retrieval_recall@200
0,roco,0.0006115459837019444,0.00012230919674038887,0.006849315017461777,0.006360078230500221,0.02751956880092621,0.02495107613503933
1,quilt_1m,0.00014750350965186954,7.375175482593477e-05,0.004351353272795677,0.003835091134533286,0.016299137845635414,0.014897854067385197
2,deepeyenet,0.00031847134232521057,0.0,0.012738853693008423,0.011783439666032791,0.05764331296086311,0.05636942759156227
