,dataset,image_retrieval_recall@1,text_retrieval_recall@1,image_retrieval_recall@50,text_retrieval_recall@50,image_retrieval_recall@200,text_retrieval_recall@200
0,roco,0.05870841443538666,0.045865949243307114,0.49498531222343445,0.4845890402793884,0.7639432549476624,0.7661448121070862
1,quilt_1m,0.03178700432181358,0.02500184439122677,0.26218748092651367,0.2559923231601715,0.44649311900138855,0.4321115016937256
2,deepeyenet,0.002229299396276474,0.0009554140269756317,0.04044586047530174,0.02197452262043953,0.0933120995759964,0.08343949168920517
