,dataset,image_retrieval_recall@1,text_retrieval_recall@1,image_retrieval_recall@50,text_retrieval_recall@50,image_retrieval_recall@200,text_retrieval_recall@200
0,roco,0.00012230919674038887,0.0,0.006604696623980999,0.00648238742724061,0.02495107613503933,0.02751956880092621
1,quilt_1m,0.0,7.375175482593477e-05,0.002433807821944356,0.0036138358991593122,0.013644074089825153,0.0141603359952569
2,deepeyenet,0.00031847134232521057,0.0,0.01592356711626053,0.013375796377658844,0.07165604829788208,0.053503185510635376
