,dataset,acc1,acc5,mean_per_class_recall,map_macro,map_weighted,acc_micro,acc_macro,acc_weighted,f1_micro,f1_macro,f1_weighted,aucroc_macro,aucroc_weighted
0,vindr_mammo,0.010832102412604629,0.030773018217626784,0.09727161727161728,0.10026178508996964,0.8976737260818481,0.026587888598442078,0.0972716212272644,0.02658788673579693,0.026587888598442078,0.006637566722929478,0.011405326426029205,0.4608736038208008,0.44495803117752075
1,pad_ufes_20,0.13478260869565217,0.9739130434782609,0.17023167147996152,0.15861523151397705,0.25926220417022705,0.12608695030212402,0.1702316701412201,0.12608695030212402,0.12608695030212402,0.06735879927873611,0.08544496446847916,0.4685552418231964,0.4541310667991638
2,skin_cancer,0.02945581627558662,0.8811782326510235,0.14285714285714285,0.14286471903324127,0.476030170917511,0.029455816373229027,0.1428571492433548,0.029455816373229027,0.029455816373229027,0.00817910861223936,0.0016864562639966607,0.49422597885131836,0.4975811839103699
3,pcam,0.500335693359375,,0.5005490818131901,0.5164957046508789,0.5164955854415894,0.500335693359375,0.5005490779876709,0.500335693359375,0.500335693359375,0.3344574272632599,0.3343154788017273,0.5284361839294434,0.5284361839294434
4,nct_crc_he_100k,0.19469445760303175,0.5850307910942681,0.125,0.1282653510570526,0.15406930446624756,0.19469445943832397,0.125,0.19469445943832397,0.19469445943832397,0.04074147343635559,0.06345711648464203,0.5040141940116882,0.5099808573722839
5,lc25000lung,0.32866666666666666,,0.3333333333333333,0.3354542553424835,0.33554044365882874,0.32866665720939636,0.3333333432674408,0.32866665720939636,0.32866665720939636,0.16491052508354187,0.1626017689704895,0.5035640597343445,0.5035167932510376
6,lc25000colon,0.5045,,0.5,0.5220487713813782,0.5221060514450073,0.5044999718666077,0.5,0.5044999718666077,0.5044999718666077,0.3353273570537567,0.33834531903266907,0.5385721325874329,0.5385720729827881
7,bach,0.25,,0.25,0.25336775183677673,0.2560623288154602,0.23000000417232513,0.25,0.23000000417232513,0.23000000417232513,0.0934959352016449,0.08601626753807068,0.48204588890075684,0.47527962923049927
8,sicap,0.4019792648444863,,0.25,0.25887301564216614,0.31183740496635437,0.4019792675971985,0.25,0.4019792675971985,0.4019792675971985,0.14336134493350983,0.23051314055919647,0.506899356842041,0.5136952996253967
