,dataset,acc1,acc5,mean_per_class_recall,map_macro,map_weighted,acc_micro,acc_macro,acc_weighted,f1_micro,f1_macro,f1_weighted,aucroc_macro,aucroc_weighted
0,vindr_mammo,0.004431314623338257,0.1656819300837026,0.10243090243090243,0.10127460956573486,0.9125471115112305,0.004431314766407013,0.10243090242147446,0.004431314766407013,0.004431314766407013,0.002214196603745222,0.004731550347059965,0.5342010855674744,0.5381430387496948
1,pad_ufes_20,0.11739130434782609,0.8891304347826087,0.2004100689805204,0.19189190864562988,0.29820388555526733,0.11739130318164825,0.20041008293628693,0.11739130318164825,0.11739130318164825,0.08613099902868271,0.07640040665864944,0.5520045161247253,0.5455471277236938
2,skin_cancer,0.6470294558162756,0.8861707438841737,0.15133222448933542,0.1924637109041214,0.5906111598014832,0.6475287079811096,0.15133222937583923,0.6475287079811096,0.6475287079811096,0.12323999404907227,0.5346391201019287,0.6965303421020508,0.6728305220603943
3,pcam,0.7327880859375,,0.7328090030984623,0.8061314225196838,0.8061273694038391,0.7327880859375,0.7328090071678162,0.7327880859375,0.7327880859375,0.7321542501449585,0.7321487665176392,0.8131864666938782,0.8131864666938782
4,nct_crc_he_100k,0.6519816832464866,0.9741039002052739,0.6465478475453679,0.7078914642333984,0.7328851819038391,0.6505605578422546,0.6465479135513306,0.6505606174468994,0.6505605578422546,0.6078132390975952,0.6210421919822693,0.9304261803627014,0.9354501366615295
5,lc25000lung,0.9193333333333333,,0.9182833343929949,0.9747135639190674,0.9750224351882935,0.9193333387374878,0.9182833433151245,0.9193333387374878,0.9193333387374878,0.9180494546890259,0.9188723564147949,0.9873064160346985,0.9874593615531921
6,lc25000colon,0.884,,0.8848096695832363,0.9565189480781555,0.9566216468811035,0.8840000033378601,0.8848096132278442,0.8840000033378601,0.8840000033378601,0.8832147121429443,0.8831285238265991,0.9609993696212769,0.9609993100166321
7,bach,0.49,,0.5042156651202935,0.5576097965240479,0.5844270586967468,0.49000000953674316,0.504215657711029,0.49000000953674316,0.49000000953674316,0.49119049310684204,0.49670475721359253,0.7771082520484924,0.7866665124893188
8,sicap,0.34542884071630536,,0.36793285973997003,0.47117143869400024,0.49691981077194214,0.34542885422706604,0.36793285608291626,0.34542885422706604,0.34542885422706604,0.33953166007995605,0.3135429322719574,0.7067056894302368,0.6793272495269775
