,dataset,epochs,seed,fewshot_k,normalized,map_macro,map_weighted,acc_micro,acc_macro,acc_weighted,f1_micro,f1_macro,f1_weighted,aucroc_macro,aucroc_weighted,lp_acc1,lp_acc5,lp_mean_per_class_recall,weight_decay
0,chestmnist_plus,40,0,-1,True,0.1804020255804062,0.2624620199203491,0.9475581049919128,0.9475580453872681,0.9045655727386475,0.12225538492202759,0.06882833689451218,0.11072473227977753,0.7875966429710388,0.7637688517570496,,,,
1,pathmnist_plus,40,0,-1,True,0.9316441416740417,0.9505810141563416,0.9104456901550293,0.9085218906402588,0.9104457497596741,0.9104456901550293,0.8980463743209839,0.9118890166282654,0.9897335767745972,0.9926568865776062,0.9103064066852368,0.9981894150417827,0.9085219628039501,0.0
2,dermamnist_plus,40,0,-1,True,0.7667833566665649,0.8905108571052551,0.8384039998054504,0.6729256510734558,0.8384039998054504,0.8384039998054504,0.6994767189025879,0.8328325748443604,0.965520977973938,0.952700674533844,0.8379052369077307,0.9980049875311721,0.6729256262026622,0.0
3,octmnist_plus,40,0,-1,True,0.8842045068740845,0.8842045068740845,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.6808685660362244,0.6808685660362244,0.9539893865585327,0.9539893865585327,0.71,,0.71,0.0
4,pneumoniamnist_plus,40,0,-1,True,0.9900411367416382,0.991154670715332,0.8958333134651184,0.8619657754898071,0.8958333134651184,0.8958333134651184,0.8812003135681152,0.891623854637146,0.9907900094985962,0.9907900094985962,0.8958333333333334,,0.861965811965812,0.0
5,retinamnist_plus,40,0,-1,True,0.5845818519592285,0.6938037872314453,0.6449999809265137,0.5106747150421143,0.6449999809265137,0.6449999809265137,0.5340375304222107,0.6297221183776855,0.8658100962638855,0.8770545125007629,0.645,,0.5106746626686657,0.0
6,breastmnist_plus,40,0,-1,True,0.8759075403213501,0.913608729839325,0.8589743375778198,0.7832080125808716,0.8589743971824646,0.8589743375778198,0.8051328659057617,0.8524083495140076,0.898809552192688,0.898809552192688,0.8589743589743589,,0.7832080200501252,0.0
7,bloodmnist_plus,40,0,-1,True,0.9944072961807251,0.994594931602478,0.9754457473754883,0.975114643573761,0.9754457473754883,0.9754457473754883,0.975717306137085,0.9753999710083008,0.9990032911300659,0.9988588094711304,0.975445776088863,0.9997076878105817,0.9751146214752319,0.0
8,tissuemnist_plus,40,0,-1,True,0.5852380394935608,0.6963631510734558,0.6451776623725891,0.5263635516166687,0.6451776623725891,0.6451776623725891,0.5371298789978027,0.6325165033340454,0.9112545251846313,0.9062592387199402,0.6451565143824027,0.9789763113367175,0.5263635734208794,0.0
9,organamnist_plus,40,0,-1,True,0.9608874917030334,0.9590964317321777,0.9173697829246521,0.9124815464019775,0.9173697829246521,0.9173697829246521,0.9124022126197815,0.9161390662193298,0.9948772192001343,0.9940937757492065,0.9173135335808302,0.999718753515581,0.9124815921580155,0.0
10,organcmnist_plus,40,0,-1,True,0.91780686378479,0.9338769912719727,0.8779211044311523,0.8576248288154602,0.8779211044311523,0.8779211044311523,0.8583512902259827,0.8773778080940247,0.9909539818763733,0.9918175339698792,0.877921129503408,0.9918451801363194,0.8576248415484756,0.0
11,organsmnist_plus,40,0,-1,True,0.7792669534683228,0.8271608352661133,0.7854310870170593,0.7302584648132324,0.7854310870170593,0.7854310870170593,0.7369740009307861,0.7817661762237549,0.9765649437904358,0.9786162972450256,0.7853177750084966,0.9979608020845134,0.7302584382347574,0.0
