,dataset,lp_acc1,lp_acc5,lp_mean_per_class_recall,weight_decay,epochs,seed,fewshot_k,normalized,map_macro,map_weighted,acc_micro,acc_macro,acc_weighted,f1_micro,f1_macro,f1_weighted,aucroc_macro,aucroc_weighted
0,vindr_mammo,0.9510093549975381,0.9938453963564746,0.2161209161209161,0,40,0,-1,True,0.1887914091348648,0.9389064908027649,0.9510093331336975,0.21612092852592468,0.9510093331336975,0.9510093331336975,0.1878911554813385,0.9331838488578796,0.8237532377243042,0.7747796773910522
1,pad_ufes_20,0.6456521739130435,0.9891304347826086,0.49896701945265565,0,40,0,-1,True,0.5513625741004944,0.6755338907241821,0.645652174949646,0.4989669919013977,0.645652174949646,0.645652174949646,0.4988938868045807,0.6220810413360596,0.8799276947975159,0.862058699131012
2,skin_cancer,0.8127808287568647,0.99900149775337,0.6099865761006802,0,40,0,-1,True,0.6989585757255554,0.8698396682739258,0.8127808570861816,0.6099866032600403,0.8127807974815369,0.8127808570861816,0.6366339325904846,0.8061122298240662,0.9571662545204163,0.944128155708313
3,pcam,0.85858154296875,,0.8585415410568398,0,40,0,-1,True,0.943878173828125,0.9438755512237549,0.85858154296875,0.8585415482521057,0.85858154296875,0.85858154296875,0.8573209643363953,0.8573266863822937,0.9440089464187622,0.9440089464187622
4,nct_crc_he_100k,0.8900994789199431,0.9955787146691931,0.8918902494220724,0,40,0,-1,True,0.9173767566680908,0.9390844106674194,0.8900994658470154,0.8918902277946472,0.8900994658470154,0.8900994658470154,0.8779574632644653,0.8927271366119385,0.9856080412864685,0.9893712997436523
5,lc25000lung,0.996,,0.9959493577424694,0,40,0,-1,True,0.9998928904533386,0.9998942017555237,0.9959999918937683,0.995949387550354,0.9959999918937683,0.9959999918937683,0.995949387550354,0.9959999918937683,0.9999471306800842,0.9999477863311768
6,lc25000colon,1.0,,1.0,0,40,0,-1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,bach,0.88,,0.8768516021145755,0,40,0,-1,True,0.9261791110038757,0.9322565793991089,0.8799999952316284,0.8768515586853027,0.8799999952316284,0.8799999952316284,0.8744739294052124,0.8813634514808655,0.9758195281028748,0.9774165749549866
8,sicap,0.7016965127238455,,0.6450822589954063,0,40,0,-1,True,0.6995367407798767,0.7651939392089844,0.701696515083313,0.6450822353363037,0.701696515083313,0.701696515083313,0.6478419899940491,0.6977623105049133,0.8976342678070068,0.8933545351028442
