,dataset,lp_acc1,lp_acc5,lp_mean_per_class_recall,weight_decay,epochs,seed,fewshot_k,normalized,map_macro,map_weighted,acc_micro,acc_macro,acc_weighted,f1_micro,f1_macro,f1_weighted,aucroc_macro,aucroc_weighted
0,vindr_mammo,0.9505169867060561,0.9940915805022157,0.1,0,40,0,-1,True,0.10377009958028793,0.915164589881897,0.9505169987678528,0.10000000149011612,0.9505169987678528,0.9505169987678528,0.09746308624744415,0.9264031648635864,0.6400564312934875,0.5801717638969421
1,pad_ufes_20,0.3804347826086957,0.9760869565217392,0.17053630237624764,0,40,0,-1,True,0.20837044715881348,0.31629839539527893,0.3804347813129425,0.17053630948066711,0.3804347813129425,0.3804347813129425,0.10614705830812454,0.23422813415527344,0.540286123752594,0.546718180179596
2,skin_cancer,0.6704942586120819,0.9720419370943585,0.14285714285714285,0,40,0,-1,True,0.2320060282945633,0.6411616206169128,0.6704942584037781,0.1428571492433548,0.6704942584037781,0.6704942584037781,0.1146785095334053,0.5382389426231384,0.7868830561637878,0.7602136731147766
3,pcam,0.741851806640625,,0.7418677317035156,0,40,0,-1,True,0.8040774464607239,0.8040835857391357,0.741851806640625,0.74186772108078,0.741851806640625,0.741851806640625,0.7414987683296204,0.7414946556091309,0.816239595413208,0.816239595413208
4,nct_crc_he_100k,0.4967629875256592,0.9545239223117006,0.42402509001243044,0,40,0,-1,True,0.4541953206062317,0.5244507789611816,0.4966050982475281,0.4240250885486603,0.4966050386428833,0.4966050982475281,0.36417457461357117,0.4388579726219177,0.8304543495178223,0.8497365117073059
5,lc25000lung,0.7696666666666667,,0.7677487715052753,0,40,0,-1,True,0.8431627750396729,0.8447850346565247,0.7696666717529297,0.7677487730979919,0.7696666717529297,0.7696666717529297,0.7610110640525818,0.7629610300064087,0.9144776463508606,0.9153474569320679
6,lc25000colon,0.7325,,0.7322128092375483,0,40,0,-1,True,0.7615593671798706,0.760986328125,0.7325000166893005,0.7322127819061279,0.7325000166893005,0.7325000166893005,0.7321028709411621,0.7321957349777222,0.7825888395309448,0.7825888395309448
7,bach,0.2,,0.25,0,40,0,-1,True,0.38332584500312805,0.40254610776901245,0.20000000298023224,0.25,0.20000000298023224,0.20000000298023224,0.0833333358168602,0.06666667014360428,0.5918235778808594,0.6143080592155457
8,sicap,0.34872761545711595,,0.25226456860332186,0,40,0,-1,True,0.25979527831077576,0.3048723042011261,0.34872761368751526,0.2522645592689514,0.34872761368751526,0.34872761368751526,0.20449650287628174,0.2888363301753998,0.5112719535827637,0.4946046471595764
