,dataset,mean_average_precision,map_micro,map_macro,map_weighted,acc_micro,acc_macro,acc_weighted,f1_micro,f1_macro,f1_weighted,aucroc_micro,aucroc_macro,aucroc_weighted,acc1,acc5,mean_per_class_recall
0,chestmnist_plus,0.0646505281329155,0.05256923660635948,0.05256923660635948,0.09616074711084366,0.05256923660635948,0.05256923660635948,0.09616074711084366,0.09988746792078018,0.09616570174694061,0.1706850677728653,0.5,0.5,0.5,,,
1,pathmnist_plus,,,0.5401021838188171,0.5963981747627258,0.5165737867355347,0.4595027267932892,0.5165738463401794,0.5165737867355347,0.396255224943161,0.44526949524879456,,0.8941294550895691,0.9049642086029053,0.5171309192200557,0.947075208913649,0.4595027343918468
2,dermamnist_plus,,,0.1883615404367447,0.5896090865135193,0.5426433682441711,0.17582498490810394,0.5426434278488159,0.5426433682441711,0.13826657831668854,0.5183322429656982,,0.6757582426071167,0.6786031723022461,0.5446384039900249,0.8962593516209476,0.17582498679819825
3,octmnist_plus,,,0.3043028712272644,0.3043028712272644,0.23800000548362732,0.23800000548362732,0.23800000548362732,0.23800000548362732,0.1580067276954651,0.1580067276954651,,0.5618526935577393,0.5618526935577393,0.238,,0.238
4,pneumoniamnist_plus,,,0.8293702602386475,0.853632390499115,0.7692307829856873,0.7846153974533081,0.7692307233810425,0.7692307829856873,0.7649717330932617,0.7728813886642456,,0.8606399297714233,0.8606399297714233,0.7692307692307693,,0.7846153846153846
5,retinamnist_plus,,,0.24636736512184143,0.3131104111671448,0.1599999964237213,0.23375959694385529,0.1599999964237213,0.1599999964237213,0.11171559989452362,0.0815541073679924,,0.5867519378662109,0.5374554991722107,0.1575,1.0,0.23375959079283887
6,breastmnist_plus,,,0.5679288506507874,0.6513427495956421,0.2884615361690521,0.5131579041481018,0.2884615659713745,0.2884615361690521,0.2410256415605545,0.15345168113708496,,0.5280910730361938,0.5280910730361938,0.28846153846153844,,0.5131578947368421
7,bloodmnist_plus,,,0.28508302569389343,0.3681325614452362,0.25665009021759033,0.2025945782661438,0.25665009021759033,0.25665009021759033,0.13159209489822388,0.18060800433158875,,0.6886841654777527,0.7287545800209045,0.2513884828997369,0.760304004676995,0.2025945751064911
8,tissuemnist_plus,,,0.1123914122581482,0.17129194736480713,0.04862521216273308,0.11757002770900726,0.04862521216273308,0.04862521216273308,0.019853562116622925,0.016157696023583412,,0.45616650581359863,0.4336993098258972,0.048561759729272416,0.6571700507614213,0.11757003365056092
9,organamnist_plus,,,0.4030783772468567,0.36884570121765137,0.27511531114578247,0.3067416250705719,0.27511531114578247,0.27511531114578247,0.25482484698295593,0.22533409297466278,,0.852243959903717,0.8034204244613647,0.276915288558893,0.930982112723591,0.3067416420560616
10,organcmnist_plus,,,0.2861845791339874,0.2776538133621216,0.2216407060623169,0.2739987373352051,0.2216407060623169,0.2216407060623169,0.22220571339130402,0.1874409168958664,,0.7987067699432373,0.7486755847930908,0.22115384615384615,0.799172346640701,0.2739987446586156
11,organsmnist_plus,,,0.32255232334136963,0.28553783893585205,0.23564064502716064,0.31342101097106934,0.23564065992832184,0.23564064502716064,0.26119932532310486,0.204509899020195,,0.8003993630409241,0.7201999425888062,0.2359805143310298,0.7991390053245724,0.3134209930332827
